code,terms,credits,overview,instructors,creqs,cid,title,preqs,subject
102,"Fall 2016, Winter 2017",3,"Computer Science (Sci) : A course for students with no previous knowledge of computer science. The impact of computers on society.  Web design and dynamic content. The inner workings of computers (hardware).  Networking principles. Algorithm design and programming. A look at how computers store data (image, sound, and video). Software distribution policies and mechanisms.",Michael Trevor Hallett (Fall) Derek Ruths (Winter),,COMP 102,Computers and Computing,,COMP
307,Fall 2016,2,"Computer Science (Sci) : The course discusses the major principles, algorithms, languages and technologies that underlie web development. Students receive practical hands-on experience through a project.",Joseph P Vybihal (Fall),COMP 303,COMP 307,Principles of Web Development,COMP 206,COMP
308,Winter 2017,1,"Computer Science (Sci) : Digital circuitry and programming interface of peripheral circuit boards (cards), e.g., graphics cards; introduction to tools and libraries that interact with the card; performance issues.",Joseph P Vybihal (Winter),,COMP 308,Computer Systems Lab,COMP 273,COMP
310,"Fall 2016, Winter 2017",3,"Computer Science (Sci) : Control and scheduling of large information processing systems. Operating system software - resource allocation, dispatching, processors, access methods, job control languages, main storage management. Batch processing, multiprogramming, multiprocessing, time sharing.",Muthucumaru Maheswaran (Fall) Muthucumaru Maheswaran (Winter),,COMP 310,Operating Systems,COMP 273,COMP
322,Winter 2017,1,"Computer Science (Sci) : Basics and advanced features of the C++ language. Syntax, memory management, class structure, method and operator overloading, multiple inheritance, access control, stream I/O, templates, exception handling.",There are no professors associated with this course for the 2016-2017 academic year.,,COMP 322,Introduction to C++,"COMP 250,COMP 206,COMP 208",COMP
321,Fall 2016,1,"Computer Science (Sci) : Development of programming skills on tricky challenges, games and puzzles by means of programming competitions.",David Becerra Romero (Fall),,COMP 321,Programming Challenges,"COMP 250,COMP 206,MATH 223,MATH 240",COMP
280,This course is not scheduled for the 2016-2017 academic year.,3,Computer Science (Sci) : A history of early mathematical computation. Symbolic logic and computation. Modern computer systems and networks. The rise of the internet.,There are no professors associated with this course for the 2016-2017 academic year.,,COMP 280,History and Philosophy of Computing,,COMP
303,"Fall 2016, Winter 2017",3,"Computer Science (Sci) : Principles, mechanisms, techniques, and tools for object-oriented software design and its implementation, including encapsulation, design patterns, and unit testing.",Joseph P Vybihal (Fall) Martin Robillard (Winter),,COMP 303,Software Design,"COMP 206,COMP 250",COMP
330,Fall 2016,3,"Computer Science (Sci) : Finite automata, regular languages, context-free languages, push-down automata, models of computation, computability theory, undecidability, reduction techniques.",Hamed Hatami (Fall),,COMP 330,Theory of Computation,"COMP 251,MATH 240",COMP
302,"Fall 2016, Winter 2017",3,"Computer Science (Sci) : Programming language design issues and programming paradigms. Binding and scoping, parameter passing, lambda abstraction, data abstraction, type checking. Functional and logic programming.",Clark Verbrugge (Fall) Prakash Panangaden (Winter),,COMP 302,Programming Languages and Paradigms,COMP 250,COMP
